       logs | GIT_COMMIT=4b5d7ecfd1087f22002bc63658dc5ad3fe30927f GIT_BRANCH=master GIT_TAG=untagged GIT_TREE_STATE=dirty RELEASE_TAG=false DEV_BRANCH=false VERSION=latest
 controller | time="2021-09-11T20:51:45.392Z" level=info msg="Configuration:\nartifactRepository:\n  s3:\n    accessKeySecret:\n      key: accesskey\n      name: my-minio-cred\n    bucket: my-bucket\n    endpoint: minio:9000\n    insecure: true\n    secretKeySecret:\n      key: secretkey\n      name: my-minio-cred\ncontainerRuntimeExecutor: pns\ncontainerRuntimeExecutors:\n- name: k8sapi\n  selector:\n    matchLabels:\n      workflows.argoproj.io/container-runtime-executor: k8sapi\n- name: emissary\n  selector:\n    matchLabels:\n      workflows.argoproj.io/container-runtime-executor: emissary\nexecutor:\n  imagePullPolicy: Never\n  name: \"\"\n  resources:\n    limits:\n      cpu: 500m\n      memory: 128Mi\n    requests:\n      cpu: 100m\n      memory: 64Mi\nimages:\n  argoproj/argosay:v1:\n    command:\n    - cowsay\n  argoproj/argosay:v2:\n    command:\n    - /argosay\n  docker/whalesay:latest:\n    command:\n    - cowsay\n  python:alpine3.6:\n    command:\n    - python3\ninitialDelay: 0s\nkubeletInsecure: true\nlinks:\n- name: Workflow Link\n  scope: workflow\n  url: http://logging-facility?namespace=${metadata.namespace}&workflowName=${metadata.name}&startedAt=${status.startedAt}&finishedAt=${status.finishedAt}\n- name: Pod Link\n  scope: pod\n  url: http://logging-facility?namespace=${metadata.namespace}&podName=${metadata.name}&startedAt=${status.startedAt}&finishedAt=${status.finishedAt}\n- name: Pod Logs Link\n  scope: pod-logs\n  url: http://logging-facility?namespace=${metadata.namespace}&podName=${metadata.name}&startedAt=${status.startedAt}&finishedAt=${status.finishedAt}\n- name: Event Source Logs Link\n  scope: event-source-logs\n  url: http://logging-facility?namespace=${metadata.namespace}&podName=${metadata.name}&startedAt=${status.startedAt}&finishedAt=${status.finishedAt}\n- name: Sensor Logs Link\n  scope: sensor-logs\n  url: http://logging-facility?namespace=${metadata.namespace}&podName=${metadata.name}&startedAt=${status.startedAt}&finishedAt=${status.finishedAt}\nmetricsConfig:\n  enabled: true\n  path: /metrics\n  port: 9090\nnamespaceParallelism: 10\nnodeEvents: {}\npodSpecLogStrategy: {}\nresourceRateLimit:\n  burst: 1\n  limit: 10\ntelemetryConfig: {}\nworkflowDefaults:\n  metadata:\n    creationTimestamp: null\n  spec:\n    activeDeadlineSeconds: 300\n    arguments: {}\n    podSpecPatch: |\n      terminationGracePeriodSeconds: 3\n    ttlStrategy:\n      secondsAfterCompletion: 600\n  status:\n    finishedAt: null\n    startedAt: null\n"
 controller | time="2021-09-11T20:51:45.392Z" level=info msg="Persistence configuration disabled"
 controller | time="2021-09-11T20:51:45.393Z" level=info msg="Starting Workflow Controller" version=latest+4b5d7ec.dirty
 controller | time="2021-09-11T20:51:45.393Z" level=info msg="Workers: workflow: 32, pod: 32, pod cleanup: 4"
argo-server | time="2021-09-11T20:51:45.404Z" level=info msg="Starting Argo Server" instanceID= version=latest+4b5d7ec.dirty
argo-server | time="2021-09-11T20:51:45.404Z" level=info msg="Creating event controller" operationQueueSize=16 workerCount=4
argo-server | time="2021-09-11T20:51:45.410Z" level=info msg="GRPC Server Max Message Size, MaxGRPCMessageSize, is set" GRPC_MESSAGE_SIZE=104857600
argo-server | time="2021-09-11T20:51:45.410Z" level=info msg="Argo Server started successfully on http://localhost:2746"
 controller | time="2021-09-11T20:51:45.411Z" level=info msg="List workflows 200"
 controller | time="2021-09-11T20:51:45.430Z" level=info msg="Manager initialized successfully"
 controller | time="2021-09-11T20:51:45.438Z" level=info msg="Watch configmaps 200"
 controller | time="2021-09-11T20:51:45.443Z" level=info msg="List configmaps 200"
 controller | time="2021-09-11T20:51:45.444Z" level=info msg="List workflowtemplates 200"
 controller | time="2021-09-11T20:51:45.447Z" level=debug msg="received config map argo/artifact-repositories update"
 controller | time="2021-09-11T20:51:45.447Z" level=info msg="List workflowtasksets 200"
 controller | time="2021-09-11T20:51:45.448Z" level=debug msg="received config map argo/workflow-controller-configmap update"
 controller | time="2021-09-11T20:51:45.521Z" level=info msg="List configmaps 200"
 controller | time="2021-09-11T20:51:45.521Z" level=info msg="List workflows 200"
 controller | time="2021-09-11T20:51:45.685Z" level=info msg="Watch workflowtemplates 200"
 controller | time="2021-09-11T20:51:45.685Z" level=info msg="Watch workflowtasksets 200"
 controller | time="2021-09-11T20:51:45.685Z" level=info msg="Watch configmaps 200"
 controller | time="2021-09-11T20:51:45.685Z" level=info msg="List pods 200"
 controller | time="2021-09-11T20:51:45.685Z" level=info msg="Watch configmaps 200"
 controller | time="2021-09-11T20:51:45.685Z" level=info msg="Watch workflows 200"
 controller | time="2021-09-11T20:51:45.693Z" level=info msg="Watch pods 200"
 controller | time="2021-09-11T20:51:45.732Z" level=debug msg=CanI name= namespace=argo resource=clusterworkflowtemplates verb=get
 controller | time="2021-09-11T20:51:45.740Z" level=info msg="Create selfsubjectaccessreviews 201"
 controller | time="2021-09-11T20:51:45.742Z" level=debug msg=CanI name= namespace=argo resource=clusterworkflowtemplates status="{true false  }" verb=get
 controller | time="2021-09-11T20:51:45.742Z" level=debug msg=CanI name= namespace=argo resource=clusterworkflowtemplates verb=list
 controller | time="2021-09-11T20:51:45.748Z" level=info msg="Create selfsubjectaccessreviews 201"
 controller | time="2021-09-11T20:51:45.748Z" level=debug msg=CanI name= namespace=argo resource=clusterworkflowtemplates status="{true false  }" verb=list
 controller | time="2021-09-11T20:51:45.748Z" level=debug msg=CanI name= namespace=argo resource=clusterworkflowtemplates verb=watch
 controller | time="2021-09-11T20:51:45.752Z" level=info msg="Create selfsubjectaccessreviews 201"
 controller | time="2021-09-11T20:51:45.753Z" level=debug msg=CanI name= namespace=argo resource=clusterworkflowtemplates status="{true false  }" verb=watch
 controller | I0911 20:51:45.753299   30204 leaderelection.go:243] attempting to acquire leader lease argo/workflow-controller...
 controller | time="2021-09-11T20:51:45.753Z" level=info msg="Starting prometheus metrics server at localhost:9090/metrics"
 controller | time="2021-09-11T20:51:45.758Z" level=info msg="Get leases 200"
 controller | time="2021-09-11T20:51:45.763Z" level=info msg="List clusterworkflowtemplates 200"
 controller | time="2021-09-11T20:51:45.765Z" level=info msg="Watch clusterworkflowtemplates 200"
 controller | time="2021-09-11T20:51:45.771Z" level=info msg="Update leases 200"
 controller | I0911 20:51:45.771856   30204 leaderelection.go:253] successfully acquired lease argo/workflow-controller
 controller | time="2021-09-11T20:51:45.771Z" level=info msg="new leader" id=local leader=local
 controller | time="2021-09-11T20:51:45.771Z" level=info msg="started leading" id=local
 controller | time="2021-09-11T20:51:45.771Z" level=debug msg="Event(v1.ObjectReference{Kind:\"Lease\", Namespace:\"argo\", Name:\"workflow-controller\", UID:\"f584088e-68c7-4f11-b2af-16e6c13a0241\", APIVersion:\"coordination.k8s.io/v1\", ResourceVersion:\"8969996\", FieldPath:\"\"}): type: 'Normal' reason: 'LeaderElection' local became leader"
 controller | time="2021-09-11T20:51:45.772Z" level=info msg="Persistence disabled - so archived workflow GC disabled - you must restart the controller if you enable this"
 controller | time="2021-09-11T20:51:45.772Z" level=info msg="Performing periodic GC every 30s"
 controller | time="2021-09-11T20:51:45.772Z" level=info msg="Starting workflow TTL controller (workflowTTLWorkers 4)"
 controller | time="2021-09-11T20:51:45.772Z" level=info msg="Started workflow TTL worker"
 controller | time="2021-09-11T20:51:45.772Z" level=info msg="Starting CronWorkflow controller"
 controller | time="2021-09-11T20:51:45.772Z" level=debug msg="Syncing all CronWorkflows"
 controller | time="2021-09-11T20:51:45.772Z" level=debug msg="Check the workflow existence"
 controller | time="2021-09-11T20:51:45.784Z" level=info msg="Get leases 200"
 controller | time="2021-09-11T20:51:45.786Z" level=info msg="Queueing Succeeded workflow argo/synchronization-wf-level-2-gfvxm for delete in 3m54s"
 controller | time="2021-09-11T20:51:45.786Z" level=info msg="Queueing Succeeded workflow argo/synchronization-wf-level-2-4nzjb for delete in 7m46s"
 controller | time="2021-09-11T20:51:45.786Z" level=info msg="Queueing Succeeded workflow argo/synchronization-wf-level-4k5rq for delete in 2m19s"
 controller | time="2021-09-11T20:51:45.786Z" level=info msg="Queueing Succeeded workflow argo/synchronization-wf-level-ff5jh for delete in 1m59s"
 controller | time="2021-09-11T20:51:45.786Z" level=info msg="Queueing Succeeded workflow argo/synchronization-wf-level-m4lsh for delete in 38s"
 controller | time="2021-09-11T20:51:45.786Z" level=info msg="Queueing Succeeded workflow argo/synchronization-wf-level-g5s97 for delete in 1m52s"
 controller | time="2021-09-11T20:51:45.786Z" level=info msg="Queueing Succeeded workflow argo/synchronization-wf-level-k9ckk for delete in 2m27s"
 controller | time="2021-09-11T20:51:45.786Z" level=info msg="Queueing Succeeded workflow argo/synchronization-wf-level-ml8kh for delete in 29s"
 controller | time="2021-09-11T20:51:45.787Z" level=info msg="Queueing Succeeded workflow argo/synchronization-wf-level-pghmq for delete in 3m47s"
 controller | time="2021-09-11T20:51:45.787Z" level=info msg="Queueing Succeeded workflow argo/synchronization-wf-level-pwm4w for delete in 7m39s"
 controller | time="2021-09-11T20:51:45.793Z" level=info msg="List workflows 200"
 controller | time="2021-09-11T20:51:45.794Z" level=info msg="List workflows 200"
 controller | time="2021-09-11T20:51:45.797Z" level=info msg="Watch workflows 200"
 controller | time="2021-09-11T20:51:45.798Z" level=info msg="Queueing Succeeded workflow argo/synchronization-wf-level-2-gfvxm for delete in 3m54s"
 controller | time="2021-09-11T20:51:45.798Z" level=info msg="Queueing Succeeded workflow argo/synchronization-wf-level-4k5rq for delete in 2m19s"
 controller | time="2021-09-11T20:51:45.798Z" level=info msg="Queueing Succeeded workflow argo/synchronization-wf-level-2-4nzjb for delete in 7m46s"
 controller | time="2021-09-11T20:51:45.799Z" level=info msg="Queueing Succeeded workflow argo/synchronization-wf-level-ff5jh for delete in 1m59s"
 controller | time="2021-09-11T20:51:45.799Z" level=info msg="Queueing Succeeded workflow argo/synchronization-wf-level-g5s97 for delete in 1m52s"
 controller | time="2021-09-11T20:51:45.799Z" level=info msg="Queueing Succeeded workflow argo/synchronization-wf-level-k9ckk for delete in 2m27s"
 controller | time="2021-09-11T20:51:45.799Z" level=info msg="Queueing Succeeded workflow argo/synchronization-wf-level-m4lsh for delete in 38s"
 controller | time="2021-09-11T20:51:45.799Z" level=info msg="Queueing Succeeded workflow argo/synchronization-wf-level-ml8kh for delete in 29s"
 controller | time="2021-09-11T20:51:45.799Z" level=info msg="Queueing Succeeded workflow argo/synchronization-wf-level-pghmq for delete in 3m47s"
 controller | time="2021-09-11T20:51:45.799Z" level=info msg="List cronworkflows 200"
 controller | time="2021-09-11T20:51:45.799Z" level=info msg="Queueing Succeeded workflow argo/synchronization-wf-level-pwm4w for delete in 7m39s"
 controller | time="2021-09-11T20:51:45.802Z" level=info msg="Watch workflows 200"
 controller | time="2021-09-11T20:51:45.806Z" level=info msg="Update leases 200"
 controller | time="2021-09-11T20:51:45.806Z" level=info msg="Create events 201"
 controller | time="2021-09-11T20:51:45.806Z" level=info msg="Watch cronworkflows 200"
 controller | time="2021-09-11T20:51:50.820Z" level=info msg="Get leases 200"
 controller | time="2021-09-11T20:51:50.835Z" level=info msg="Update leases 200"
 controller | time="2021-09-11T20:51:55.773Z" level=debug msg="Syncing all CronWorkflows"
 controller | time="2021-09-11T20:51:55.847Z" level=info msg="Get leases 200"
 controller | time="2021-09-11T20:51:55.859Z" level=info msg="Update leases 200"
 controller | time="2021-09-11T20:51:57.193Z" level=info msg="Processing workflow" namespace=argo workflow=synchronization-wf-level-68rms
 controller | time="2021-09-11T20:51:57.194Z" level=debug msg="Getting the template by name"
 controller | time="2021-09-11T20:51:57.194Z" level=debug msg="Resolving the template" base="*v1alpha1.Workflow (namespace=argo,name=synchronization-wf-level-68rms)" depth=0 tmpl="*v1alpha1.WorkflowStep (whalesay)"
 controller | time="2021-09-11T20:51:57.194Z" level=debug msg="Getting the template" base="*v1alpha1.Workflow (namespace=argo,name=synchronization-wf-level-68rms)" depth=0 tmpl="*v1alpha1.WorkflowStep (whalesay)"
 controller | time="2021-09-11T20:51:57.194Z" level=debug msg="Getting the template by name" base="*v1alpha1.Workflow (namespace=argo,name=synchronization-wf-level-68rms)" depth=0 tmpl="*v1alpha1.WorkflowStep (whalesay)"
 controller | time="2021-09-11T20:51:57.194Z" level=debug msg="Getting the template by name" base="*v1alpha1.Workflow (namespace=argo,name=synchronization-wf-level-68rms)" depth=0 tmpl="*v1alpha1.WorkflowStep (whalesay)"
 controller | time="2021-09-11T20:51:57.194Z" level=debug msg="Resolving the template" base="*v1alpha1.Workflow (namespace=argo,name=synchronization-wf-level-68rms)" depth=0 tmpl="*v1alpha1.WorkflowStep (whalesay)"
 controller | time="2021-09-11T20:51:57.195Z" level=debug msg="Getting the template" base="*v1alpha1.Workflow (namespace=argo,name=synchronization-wf-level-68rms)" depth=0 tmpl="*v1alpha1.WorkflowStep (whalesay)"
 controller | time="2021-09-11T20:51:57.195Z" level=debug msg="Getting the template by name" base="*v1alpha1.Workflow (namespace=argo,name=synchronization-wf-level-68rms)" depth=0 tmpl="*v1alpha1.WorkflowStep (whalesay)"
 controller | time="2021-09-11T20:51:57.208Z" level=info msg="Get configmaps 200"
 controller | time="2021-09-11T20:51:57.210Z" level=info msg="resolved artifact repository" artifactRepositoryRef="argo/#"
 controller | time="2021-09-11T20:51:57.210Z" level=debug msg="Added into queue: argo/synchronization-wf-level-68rms" mutex=argo/Mutex/test
 controller | time="2021-09-11T20:51:57.210Z" level=info msg="argo/Mutex/test acquired by argo/synchronization-wf-level-68rms " mutex=argo/Mutex/test
 controller | time="2021-09-11T20:51:57.210Z" level=info msg="Updated phase  -> Running" namespace=argo workflow=synchronization-wf-level-68rms
 controller | time="2021-09-11T20:51:57.210Z" level=debug msg="Evaluating node synchronization-wf-level-68rms: template: *v1alpha1.WorkflowStep (whalesay), boundaryID: " namespace=argo workflow=synchronization-wf-level-68rms
 controller | time="2021-09-11T20:51:57.210Z" level=debug msg="Resolving the template" base="*v1alpha1.Workflow (namespace=argo,name=synchronization-wf-level-68rms)" depth=0 tmpl="*v1alpha1.WorkflowStep (whalesay)"
 controller | time="2021-09-11T20:51:57.210Z" level=debug msg="Event(v1.ObjectReference{Kind:\"Workflow\", Namespace:\"argo\", Name:\"synchronization-wf-level-68rms\", UID:\"b0204bbd-f87e-4363-a478-1a1f5c29597c\", APIVersion:\"argoproj.io/v1alpha1\", ResourceVersion:\"8970020\", FieldPath:\"\"}): type: 'Normal' reason: 'WorkflowRunning' Workflow Running"
 controller | time="2021-09-11T20:51:57.210Z" level=debug msg="Getting the template" base="*v1alpha1.Workflow (namespace=argo,name=synchronization-wf-level-68rms)" depth=0 tmpl="*v1alpha1.WorkflowStep (whalesay)"
 controller | time="2021-09-11T20:51:57.210Z" level=debug msg="Getting the template by name" base="*v1alpha1.Workflow (namespace=argo,name=synchronization-wf-level-68rms)" depth=0 tmpl="*v1alpha1.WorkflowStep (whalesay)"
 controller | time="2021-09-11T20:51:57.210Z" level=debug msg="Initializing node synchronization-wf-level-68rms: template: *v1alpha1.WorkflowStep (whalesay), boundaryID: " namespace=argo workflow=synchronization-wf-level-68rms
 controller | time="2021-09-11T20:51:57.210Z" level=info msg="Pod node synchronization-wf-level-68rms initialized Pending" namespace=argo workflow=synchronization-wf-level-68rms
 controller | time="2021-09-11T20:51:57.210Z" level=debug msg="Executing node synchronization-wf-level-68rms with container template: whalesay\n" namespace=argo workflow=synchronization-wf-level-68rms
 controller | time="2021-09-11T20:51:57.210Z" level=debug namespace=argo needLocation=true workflow=synchronization-wf-level-68rms
 controller | time="2021-09-11T20:51:57.212Z" level=debug msg="Creating Pod: synchronization-wf-level-68rms (synchronization-wf-level-68rms)" namespace=argo workflow=synchronization-wf-level-68rms
 controller | time="2021-09-11T20:51:57.227Z" level=info msg="Create events 201"
 controller | time="2021-09-11T20:51:57.246Z" level=info msg="Create pods 201"
 controller | time="2021-09-11T20:51:57.254Z" level=info msg="Created pod: synchronization-wf-level-68rms (synchronization-wf-level-68rms)" namespace=argo workflow=synchronization-wf-level-68rms
 controller | time="2021-09-11T20:51:57.254Z" level=info msg="TaskSet Reconciliation" namespace=argo workflow=synchronization-wf-level-68rms
 controller | time="2021-09-11T20:51:57.254Z" level=info msg=reconcileAgentPod namespace=argo workflow=synchronization-wf-level-68rms
 controller | time="2021-09-11T20:51:57.255Z" level=debug msg="Log changes patch: {\"metadata\":{\"labels\":{\"workflows.argoproj.io/phase\":\"Running\"}},\"spec\":{\"activeDeadlineSeconds\":300,\"podSpecPatch\":\"terminationGracePeriodSeconds: 3\\n\",\"ttlStrategy\":{\"secondsAfterCompletion\":600}},\"status\":{\"artifactRepositoryRef\":{\"artifactRepository\":{\"archiveLogs\":true,\"s3\":{\"accessKeySecret\":{\"key\":\"accesskey\",\"name\":\"my-minio-cred\"},\"bucket\":\"my-bucket\",\"endpoint\":\"minio:9000\",\"insecure\":true,\"secretKeySecret\":{\"key\":\"secretkey\",\"name\":\"my-minio-cred\"}}},\"configMap\":\"artifact-repositories\",\"key\":\"default-v1\",\"namespace\":\"argo\"},\"nodes\":{\"synchronization-wf-level-68rms\":{\"displayName\":\"synchronization-wf-level-68rms\",\"finishedAt\":null,\"id\":\"synchronization-wf-level-68rms\",\"name\":\"synchronization-wf-level-68rms\",\"phase\":\"Pending\",\"startedAt\":\"2021-09-11T15:21:57Z\",\"templateName\":\"whalesay\",\"templateScope\":\"local/synchronization-wf-level-68rms\",\"type\":\"Pod\"}},\"phase\":\"Running\",\"startedAt\":\"2021-09-11T15:21:57Z\",\"synchronization\":{\"mutex\":{\"holding\":[{\"holder\":\"synchronization-wf-level-68rms\",\"mutex\":\"argo/Mutex/test\"}]}}}}"
 controller | time="2021-09-11T20:51:57.383Z" level=info msg="Update workflows 200"
 controller | time="2021-09-11T20:51:57.384Z" level=info msg="Processing workflow" namespace=argo workflow=synchronization-wf-level-2-947b5
 controller | time="2021-09-11T20:51:57.384Z" level=debug msg="Getting the template by name"
 controller | time="2021-09-11T20:51:57.384Z" level=debug msg="Resolving the template" base="*v1alpha1.Workflow (namespace=argo,name=synchronization-wf-level-2-947b5)" depth=0 tmpl="*v1alpha1.WorkflowStep (whalesay)"
 controller | time="2021-09-11T20:51:57.384Z" level=debug msg="Getting the template" base="*v1alpha1.Workflow (namespace=argo,name=synchronization-wf-level-2-947b5)" depth=0 tmpl="*v1alpha1.WorkflowStep (whalesay)"
 controller | time="2021-09-11T20:51:57.384Z" level=debug msg="Getting the template by name" base="*v1alpha1.Workflow (namespace=argo,name=synchronization-wf-level-2-947b5)" depth=0 tmpl="*v1alpha1.WorkflowStep (whalesay)"
 controller | time="2021-09-11T20:51:57.385Z" level=debug msg="Getting the template by name" base="*v1alpha1.Workflow (namespace=argo,name=synchronization-wf-level-2-947b5)" depth=0 tmpl="*v1alpha1.WorkflowStep (whalesay)"
 controller | time="2021-09-11T20:51:57.385Z" level=debug msg="Resolving the template" base="*v1alpha1.Workflow (namespace=argo,name=synchronization-wf-level-2-947b5)" depth=0 tmpl="*v1alpha1.WorkflowStep (whalesay)"
 controller | time="2021-09-11T20:51:57.385Z" level=debug msg="Getting the template" base="*v1alpha1.Workflow (namespace=argo,name=synchronization-wf-level-2-947b5)" depth=0 tmpl="*v1alpha1.WorkflowStep (whalesay)"
 controller | time="2021-09-11T20:51:57.385Z" level=debug msg="Getting the template by name" base="*v1alpha1.Workflow (namespace=argo,name=synchronization-wf-level-2-947b5)" depth=0 tmpl="*v1alpha1.WorkflowStep (whalesay)"
 controller | time="2021-09-11T20:51:57.395Z" level=info msg="Workflow update successful" namespace=argo phase=Running resourceVersion=8970023 workflow=synchronization-wf-level-68rms
 controller | time="2021-09-11T20:51:57.396Z" level=info msg="Processing workflow" namespace=argo workflow=synchronization-wf-level-68rms
 controller | time="2021-09-11T20:51:57.396Z" level=debug msg="Lock is already acquired by argo/synchronization-wf-level-68rms" mutex=argo/Mutex/test
 controller | time="2021-09-11T20:51:57.396Z" level=debug msg="argo/synchronization-wf-level-68rms is already holding a lock" mutex=argo/Mutex/test
 controller | time="2021-09-11T20:51:57.397Z" level=debug msg="Evaluating node synchronization-wf-level-68rms: template: *v1alpha1.WorkflowStep (whalesay), boundaryID: " namespace=argo workflow=synchronization-wf-level-68rms
 controller | time="2021-09-11T20:51:57.397Z" level=debug msg="Resolving the template" base="*v1alpha1.Workflow (namespace=argo,name=synchronization-wf-level-68rms)" depth=0 tmpl="*v1alpha1.WorkflowStep (whalesay)"
 controller | time="2021-09-11T20:51:57.397Z" level=debug msg="Getting the template" base="*v1alpha1.Workflow (namespace=argo,name=synchronization-wf-level-68rms)" depth=0 tmpl="*v1alpha1.WorkflowStep (whalesay)"
 controller | time="2021-09-11T20:51:57.397Z" level=debug msg="Getting the template by name" base="*v1alpha1.Workflow (namespace=argo,name=synchronization-wf-level-68rms)" depth=0 tmpl="*v1alpha1.WorkflowStep (whalesay)"
 controller | time="2021-09-11T20:51:57.397Z" level=debug msg="Executing node synchronization-wf-level-68rms of Pod is Pending" namespace=argo workflow=synchronization-wf-level-68rms
 controller | time="2021-09-11T20:51:57.397Z" level=debug msg="Executing node synchronization-wf-level-68rms with container template: whalesay\n" namespace=argo workflow=synchronization-wf-level-68rms
 controller | time="2021-09-11T20:51:57.397Z" level=debug msg="Skipped pod synchronization-wf-level-68rms (synchronization-wf-level-68rms) creation: already exists" namespace=argo podPhase=Pending workflow=synchronization-wf-level-68rms
 controller | time="2021-09-11T20:51:57.397Z" level=info msg="TaskSet Reconciliation" namespace=argo workflow=synchronization-wf-level-68rms
 controller | time="2021-09-11T20:51:57.397Z" level=info msg=reconcileAgentPod namespace=argo workflow=synchronization-wf-level-68rms
 controller | time="2021-09-11T20:51:57.401Z" level=info msg="Get configmaps 200"
 controller | time="2021-09-11T20:51:57.402Z" level=info msg="resolved artifact repository" artifactRepositoryRef="argo/#"
 controller | time="2021-09-11T20:51:57.402Z" level=debug msg="Added into queue: argo/synchronization-wf-level-2-947b5" mutex=argo/Mutex/test
 controller | time="2021-09-11T20:51:57.403Z" level=debug msg="Current semaphore Holders. map[argo/synchronization-wf-level-68rms:true]" mutex=argo/Mutex/test
 controller | time="2021-09-11T20:51:57.403Z" level=warning msg="Workflow processing has been postponed due to concurrency limit" namespace=argo workflow=synchronization-wf-level-2-947b5
 controller | time="2021-09-11T20:51:57.403Z" level=info msg="Updated phase  -> Pending" namespace=argo workflow=synchronization-wf-level-2-947b5
 controller | time="2021-09-11T20:51:57.403Z" level=info msg="Updated message  -> Waiting for argo/Mutex/test lock. Lock status: 0/1 " namespace=argo workflow=synchronization-wf-level-2-947b5
 controller | time="2021-09-11T20:51:57.405Z" level=debug msg="Log changes patch: {\"metadata\":{\"labels\":{\"workflows.argoproj.io/phase\":\"Pending\"}},\"spec\":{\"activeDeadlineSeconds\":300,\"podSpecPatch\":\"terminationGracePeriodSeconds: 3\\n\",\"ttlStrategy\":{\"secondsAfterCompletion\":600}},\"status\":{\"artifactRepositoryRef\":{\"artifactRepository\":{\"archiveLogs\":true,\"s3\":{\"accessKeySecret\":{\"key\":\"accesskey\",\"name\":\"my-minio-cred\"},\"bucket\":\"my-bucket\",\"endpoint\":\"minio:9000\",\"insecure\":true,\"secretKeySecret\":{\"key\":\"secretkey\",\"name\":\"my-minio-cred\"}}},\"configMap\":\"artifact-repositories\",\"key\":\"default-v1\",\"namespace\":\"argo\"},\"message\":\"Waiting for argo/Mutex/test lock. Lock status: 0/1 \",\"phase\":\"Pending\",\"synchronization\":{\"mutex\":{\"waiting\":[{\"holder\":\"argo/synchronization-wf-level-68rms\",\"mutex\":\"argo/Mutex/test\"}]}}}}"
 controller | time="2021-09-11T20:51:57.413Z" level=info msg="Processing workflow" namespace=argo workflow=synchronization-wf-level-68rms
 controller | time="2021-09-11T20:51:57.414Z" level=debug msg="Lock is already acquired by argo/synchronization-wf-level-68rms" mutex=argo/Mutex/test
 controller | time="2021-09-11T20:51:57.414Z" level=debug msg="argo/synchronization-wf-level-68rms is already holding a lock" mutex=argo/Mutex/test
 controller | time="2021-09-11T20:51:57.414Z" level=debug msg="Evaluating node synchronization-wf-level-68rms: template: *v1alpha1.WorkflowStep (whalesay), boundaryID: " namespace=argo workflow=synchronization-wf-level-68rms
 controller | time="2021-09-11T20:51:57.414Z" level=debug msg="Resolving the template" base="*v1alpha1.Workflow (namespace=argo,name=synchronization-wf-level-68rms)" depth=0 tmpl="*v1alpha1.WorkflowStep (whalesay)"
 controller | time="2021-09-11T20:51:57.414Z" level=debug msg="Getting the template" base="*v1alpha1.Workflow (namespace=argo,name=synchronization-wf-level-68rms)" depth=0 tmpl="*v1alpha1.WorkflowStep (whalesay)"
 controller | time="2021-09-11T20:51:57.414Z" level=debug msg="Getting the template by name" base="*v1alpha1.Workflow (namespace=argo,name=synchronization-wf-level-68rms)" depth=0 tmpl="*v1alpha1.WorkflowStep (whalesay)"
 controller | time="2021-09-11T20:51:57.414Z" level=debug msg="Executing node synchronization-wf-level-68rms of Pod is Pending" namespace=argo workflow=synchronization-wf-level-68rms
 controller | time="2021-09-11T20:51:57.414Z" level=debug msg="Executing node synchronization-wf-level-68rms with container template: whalesay\n" namespace=argo workflow=synchronization-wf-level-68rms
 controller | time="2021-09-11T20:51:57.414Z" level=debug msg="Skipped pod synchronization-wf-level-68rms (synchronization-wf-level-68rms) creation: already exists" namespace=argo podPhase=Pending workflow=synchronization-wf-level-68rms
 controller | time="2021-09-11T20:51:57.414Z" level=info msg="TaskSet Reconciliation" namespace=argo workflow=synchronization-wf-level-68rms
 controller | time="2021-09-11T20:51:57.414Z" level=info msg=reconcileAgentPod namespace=argo workflow=synchronization-wf-level-68rms
 controller | time="2021-09-11T20:51:57.443Z" level=info msg="Update workflows 200"
